path,emotion,actor
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-01-01-01-01-01.wav,neutral,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-01-01-01-02-01.wav,neutral,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-01-01-02-01-01.wav,neutral,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-01-01-02-02-01.wav,neutral,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-01-01-01-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-01-01-02-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-01-02-01-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-01-02-02-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-02-01-01-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-02-01-02-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-02-02-01-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-02-02-02-02-01.wav,calm,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-01-01-01-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-01-01-02-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-01-02-01-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-01-02-02-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-02-01-01-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-02-01-02-01.wav,happy,01
/sensei-fs-3/users/vkhazanchi/reranker-diksha/personal/ser/RAVDESS_DATA/ravdess/Actor_01/03-01-03-02-02-01-01.wav,happy,01
